gas_price;gas_type;place_id
21.89;regular;11703
23.89;premium;11703
21.37;regular;11702
23.39;premium;11702
22.89;diesel;11702
17.49;regular;11701
22.5;diesel;11701
19.96;regular;11700
22.9;premium;11700
22.7;diesel;11700
20.89;regular;11699
22.65;premium;11699
21.2;regular;11698
22.5;diesel;11698
20.49;regular;11697
22.29;premium;11697
21.89;diesel;11697
21.79;premium;11696
21.89;diesel;11696
19.8;regular;11696
21.09;regular;11695
22.49;premium;11695
22.49;diesel;11695
20.49;regular;11694
22.59;premium;11694
21.99;diesel;11694
19.55;regular;3153
22.99;diesel;3153
22.99;premium;3153
20.69;regular;11693
22.45;premium;11693
22;diesel;11693
22.99;diesel;11692
20.99;regular;11692
22.99;premium;11692
23.69;premium;11691
20.69;regular;11691
21.89;diesel;11691
20.49;regular;11690
21.99;premium;11690
21.59;diesel;11690
23.99;premium;11395
22.99;diesel;11395
21.89;regular;11395
22.39;diesel;11394
20.99;regular;11394
22.99;premium;11394
20.29;regular;11393
21.82;premium;11393
22.34;diesel;11393
22.64;regular;11392
23.94;diesel;11392
24.74;premium;11392
22.99;premium;11391
19.99;regular;11391
21.09;diesel;11391
20.98;regular;11390
23.29;premium;11390
21.65;diesel;11390
21.69;regular;2802
21.99;diesel;2802
23.99;premium;2802
19.19;premium;11389
16.39;regular;11389
21.99;diesel;11388
21.15;regular;11388
22.99;premium;11388
20.84;regular;11387
23.84;premium;11387
22.14;diesel;11387
20.56;regular;11386
22.16;premium;11386
22.06;diesel;11386
23.49;diesel;11385
21.5;regular;11385
23.99;premium;11385
21.89;regular;11384
23.55;premium;11384
22.55;diesel;11384
21.69;diesel;11383
20.39;regular;11383
22.39;premium;11383
20.49;regular;11382
24.99;premium;11382
20.39;regular;11381
22.09;premium;11381
20.29;regular;11380
21.79;diesel;11380
21.99;diesel;2848
19.99;regular;2848
23.99;premium;2848
22.52;regular;11379
23.92;premium;11379
23.14;diesel;11379
20.49;regular;11378
22.99;premium;11378
22.19;diesel;11378
23.29;diesel;11376
21.97;regular;11376
23.64;premium;11376
20.5;regular;11377
22.19;diesel;11377
21.83;regular;11375
23.53;premium;11375
23.57;diesel;11375
23.38;regular;11374
24.23;premium;11374
23.91;diesel;11374
21.79;regular;11373
23.53;premium;11373
23.59;diesel;11373
23.29;diesel;11372
