,cre_id,d_codigo,gas_price,gas_type,name,place_id,x,y,D_mnpio,d_estado
0,PL/658/EXP/ES/2015,22225,21.99,diesel,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",2039,-116.9214,32.47641,Tijuana,Baja California
1,PL/658/EXP/ES/2015,22225,20.99,regular,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",2039,-116.9214,32.47641,Tijuana,Baja California
2,PL/658/EXP/ES/2015,22225,23.99,premium,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",2039,-116.9214,32.47641,Tijuana,Baja California
3,PL/19533/EXP/ES/2016,22225,21.49,regular,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",21892,-116.9213,32.47639,Tijuana,Baja California
4,PL/19533/EXP/ES/2016,22225,21.15,diesel,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",21892,-116.9213,32.47639,Tijuana,Baja California
5,PL/19533/EXP/ES/2016,22225,23.99,premium,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",21892,-116.9213,32.47639,Tijuana,Baja California
6,PL/760/EXP/ES/2015,32380,18.87,premium,"DIAZ GAS, S.A. DE C.V.",2041,-106.4514,31.71947,Juárez,Chihuahua
7,PL/760/EXP/ES/2015,32380,16.64,regular,"DIAZ GAS, S.A. DE C.V.",2041,-106.4514,31.71947,Juárez,Chihuahua
8,PL/11302/EXP/ES/2015,32380,16.39,regular,SERVICIO NUEVO MILENIO SA DE CV,13442,-106.462,31.73079,Juárez,Chihuahua
9,PL/825/EXP/ES/2015,44390,21.89,regular,"COMBU-EXPRESS, S.A. DE C.V.",2042,-103.3042,20.71413,Guadalajara,Jalisco
10,PL/825/EXP/ES/2015,44390,24.69,premium,"COMBU-EXPRESS, S.A. DE C.V.",2042,-103.3042,20.71413,Guadalajara,Jalisco
11,PL/825/EXP/ES/2015,44390,23.19,diesel,"COMBU-EXPRESS, S.A. DE C.V.",2042,-103.3042,20.71413,Guadalajara,Jalisco
12,PL/21721/EXP/ES/2018,44390,22.49,regular,"COMBUSTIBLE BELPER, S.A. DE C.V.",24964,-103.3021,20.71415,Guadalajara,Jalisco
13,PL/21721/EXP/ES/2018,44390,24.48,premium,"COMBUSTIBLE BELPER, S.A. DE C.V.",24964,-103.3021,20.71415,Guadalajara,Jalisco
14,PL/842/EXP/ES/2015,22523,21.99,regular,"ESTACION RAEL, S. DE R.L. DE C.V.",2044,-117.0715,32.51342,Tijuana,Baja California
15,PL/842/EXP/ES/2015,22523,23.99,premium,"ESTACION RAEL, S. DE R.L. DE C.V.",2044,-117.0715,32.51342,Tijuana,Baja California
16,PL/439/EXP/ES/2015,66050,22.39,regular,"PETROMAX, S.A. DE C.V.",2046,-100.2918,25.77202,General Escobedo,Nuevo León
17,PL/439/EXP/ES/2015,66050,25.19,premium,"PETROMAX, S.A. DE C.V.",2046,-100.2918,25.77202,General Escobedo,Nuevo León
18,PL/439/EXP/ES/2015,66050,22.89,diesel,"PETROMAX, S.A. DE C.V.",2046,-100.2918,25.77202,General Escobedo,Nuevo León
19,PL/1284/EXP/ES/2015,66050,23.19,regular,"PETROMAX, S.A. DE C.V.",3038,-100.3057,25.79136,General Escobedo,Nuevo León
20,PL/1284/EXP/ES/2015,66050,25.19,premium,"PETROMAX, S.A. DE C.V.",3038,-100.3057,25.79136,General Escobedo,Nuevo León
21,PL/2623/EXP/ES/2015,66050,21.67,regular,"SUPER SERVICIO LAS ENCINAS, S.A. DE C.V.   ES7454",4315,-100.3092,25.79507,General Escobedo,Nuevo León
22,PL/2623/EXP/ES/2015,66050,23.67,premium,"SUPER SERVICIO LAS ENCINAS, S.A. DE C.V.   ES7454",4315,-100.3092,25.79507,General Escobedo,Nuevo León
23,PL/2623/EXP/ES/2015,66050,22.79,diesel,"SUPER SERVICIO LAS ENCINAS, S.A. DE C.V.   ES7454",4315,-100.3092,25.79507,General Escobedo,Nuevo León
24,PL/13582/EXP/ES/2016,66050,22.69,diesel,"PETROMAX, S.A. DE C.V.",20895,-100.2929,25.84832,General Escobedo,Nuevo León
25,PL/13582/EXP/ES/2016,66050,23.19,regular,"PETROMAX, S.A. DE C.V.",20895,-100.2929,25.84832,General Escobedo,Nuevo León
26,PL/13582/EXP/ES/2016,66050,25.19,premium,"PETROMAX, S.A. DE C.V.",20895,-100.2929,25.84832,General Escobedo,Nuevo León
27,PL/18931/EXP/ES/2016,66050,22.29,regular,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",21141,-100.291,25.7684,General Escobedo,Nuevo León
28,PL/18931/EXP/ES/2016,66050,24.19,premium,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",21141,-100.291,25.7684,General Escobedo,Nuevo León
29,PL/18931/EXP/ES/2016,66050,22.99,diesel,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",21141,-100.291,25.7684,General Escobedo,Nuevo León
30,PL/860/EXP/ES/2015,22880,20.99,regular,"ESTACION RAEL, S. DE R.L. DE C.V.",2047,-116.6079,31.86546,Ensenada,Baja California
31,PL/860/EXP/ES/2015,22880,22.99,premium,"ESTACION RAEL, S. DE R.L. DE C.V.",2047,-116.6079,31.86546,Ensenada,Baja California
32,PL/860/EXP/ES/2015,22880,22.29,diesel,"ESTACION RAEL, S. DE R.L. DE C.V.",2047,-116.6079,31.86546,Ensenada,Baja California
33,PL/3608/EXP/ES/2015,22880,20.59,regular,"SUPER SERVICIO MODELO, SA",6954,-116.6143,31.85,Ensenada,Baja California
34,PL/3608/EXP/ES/2015,22880,22.79,premium,"SUPER SERVICIO MODELO, SA",6954,-116.6143,31.85,Ensenada,Baja California
35,PL/9685/EXP/ES/2015,22880,20.23,regular,SERVICIO BUSTRI S.A. DE C.V.(E6814),10447,-116.5899,31.86228,Ensenada,Baja California
