d_estado;D_mnpio;pob_total
Aguascalientes;Aguascalientes;948990
Aguascalientes;Asientos;51536
Aguascalientes;Calvillo;58250
Aguascalientes;Cosío;17000
Aguascalientes;Jesús María;129929
Aguascalientes;Pabellón de Arteaga;47646
Aguascalientes;Rincón de Romos;57369
Aguascalientes;San José de Gracia;9552
Aguascalientes;Tepezalá;22485
Aguascalientes;El Llano;20853
Aguascalientes;San Francisco de los Romo;61997
Baja California;Ensenada;443807
Baja California;Mexicali;1049792
Baja California;Tecate;108440
Baja California;Tijuana;1922523
Baja California;Playas de Rosarito;126890
Baja California;San Quintín;117568
Baja California Sur;Comondú;73021
Baja California Sur;Mulegé;64022
Baja California Sur;La Paz;292241
Baja California Sur;Los Cabos;351111
Baja California Sur;Loreto;18052
Campeche;Calkiní;59232
Campeche;Campeche;294077
Campeche;Carmen;248845
Campeche;Champotón;78170
Campeche;Hecelchakán;31917
Campeche;Hopelchén;42140
Campeche;Palizada;8683
Campeche;Tenabo;11452
Campeche;Escárcega;59923
Campeche;Calakmul;31714
Campeche;Candelaria;46913
Campeche;Seybaplaya;15297
Coahuila de Zaragoza;Abasolo;1022
Coahuila de Zaragoza;Acuña;163058
Coahuila de Zaragoza;Allende;23056
Coahuila de Zaragoza;Arteaga;29578
Coahuila de Zaragoza;Candela;1643
Coahuila de Zaragoza;Castaños;29128
Coahuila de Zaragoza;Cuatro Ciénegas;12715
Coahuila de Zaragoza;Escobedo;3047
Coahuila de Zaragoza;Francisco I. Madero;59035
Coahuila de Zaragoza;Frontera;82409
Coahuila de Zaragoza;General Cepeda;11898
Coahuila de Zaragoza;Guerrero;1643
Coahuila de Zaragoza;Hidalgo;1735
Coahuila de Zaragoza;Jiménez;9502
Coahuila de Zaragoza;Juárez;1584
Coahuila de Zaragoza;Lamadrid;1764
Coahuila de Zaragoza;Matamoros;118337
Coahuila de Zaragoza;Monclova;237951
Coahuila de Zaragoza;Morelos;7928
Coahuila de Zaragoza;Múzquiz;71627
Coahuila de Zaragoza;Nadadores;6539
Coahuila de Zaragoza;Nava;33129
Coahuila de Zaragoza;Ocampo;9642
Coahuila de Zaragoza;Parras;44472
Coahuila de Zaragoza;Piedras Negras;176327
Coahuila de Zaragoza;Progreso;3239
Coahuila de Zaragoza;Ramos Arizpe;122243
Coahuila de Zaragoza;Sabinas;64811
Coahuila de Zaragoza;Sacramento;2471
Coahuila de Zaragoza;Saltillo;879958
Coahuila de Zaragoza;San Buenaventura;24759
Coahuila de Zaragoza;San Juan de Sabinas;42260
Coahuila de Zaragoza;San Pedro;101041
Coahuila de Zaragoza;Sierra Mojada;6744
Coahuila de Zaragoza;Torreón;720848
Coahuila de Zaragoza;Viesca;20305
Coahuila de Zaragoza;Villa Unión;6188
Coahuila de Zaragoza;Zaragoza;13135
Colima;Armería;27626
Colima;Colima;157048
Colima;Comala;21661
Colima;Coquimatlán;20837
Colima;Cuauhtémoc;31267
Colima;Ixtlahuacán;5623
Colima;Manzanillo;191031
Colima;Minatitlán;10231
Colima;Tecomán;116305
Colima;Villa de Álvarez;149762
Chiapas;Acacoyagua;17994
Chiapas;Acala;21187
Chiapas;Acapetahua;26899
Chiapas;Altamirano;36160
Chiapas;Amatán;24512
Chiapas;Amatenango de la Frontera;31735
Chiapas;Amatenango del Valle;11283
Chiapas;Ángel Albino Corzo;31947
Chiapas;Arriaga;41135
Chiapas;Bejucal de Ocampo;7365
Chiapas;Bella Vista;20157
Chiapas;Berriozábal;64632
Chiapas;Bochil;37263
Chiapas;El Bosque;24273
Chiapas;Cacahoatán;50112
Chiapas;Catazajá;17619
Chiapas;Cintalapa;88106
